CountyFIPS,NAICS,Employment
2122,81,696
2122,92,3071
2130,11,0
2130,21,0
2130,22,0
2130,23,290
2130,31,432
2130,42,0
2130,44,1011
2130,48,758
2130,51,92
2130,52,222
2130,53,126
2130,54,135
2130,55,28
2130,56,119
2130,61,73
2130,62,1155
2130,71,217
2130,72,779
2130,81,132
2130,92,1633
2150,11,0
2150,21,0
2150,22,0
2150,23,191
2150,31,1348
2150,42,0
2150,44,517
2150,48,373
2150,51,50
2150,52,68
2150,53,91
2150,54,85
2150,55,70
2150,56,87
2150,61,1905
2150,62,0
2150,71,100
2150,72,419
2150,81,154
2150,92,350
2158,22,0
2158,23,33
2158,31,0
2158,42,0
2158,44,352
2158,48,89
2158,53,0
2158,55,21
2158,61,0
2158,62,0
2158,71,0
2158,72,0
2158,81,85
2158,92,683
2164,11,0
2164,22,30
2164,23,14
2164,31,0
2164,44,30
2164,48,126
2164,51,0
2164,52,0
2164,53,0
2164,54,0
2164,55,0
2164,56,0
2164,61,0
2164,62,0
2164,71,39
2164,72,118
2164,81,15
2164,92,275
2170,11,236
2170,21,52
2170,22,281
2170,23,2585
2170,31,325
2170,42,172
2170,44,3829
2170,48,965
2170,51,543
2170,52,537
2170,53,243
2170,54,753
2170,55,62
2170,56,682
2170,61,1491
2170,62,5266
2170,71,448
2170,72,2703
2170,81,800
2170,92,1654
2180,11,0
2180,21,14
2180,22,0
2180,23,60
2180,31,0
2180,42,0
2180,44,365
2180,48,234
2180,51,0
2180,52,17
2180,53,81
2180,54,23
2180,55,162
2180,56,8
2180,61,2946
2180,62,0
2180,71,50
2180,72,115
2180,81,293
2180,92,883
2185,21,7323
2185,22,0
2185,23,0
2185,31,0
2185,42,0
2185,44,236
2185,48,289
2185,51,58
2185,52,0
2185,53,0
2185,54,259
2185,55,257
2185,56,1263
2185,61,2045
2185,62,0
2185,71,24
2185,72,652
2185,81,123
2185,92,1683
2188,11,0
2188,21,0
2188,22,0
2188,23,30
2188,44,0
2188,48,206
2188,51,47
2188,52,0
2188,53,0
2188,54,0
2188,55,0
2188,56,0
2188,61,1780
2188,62,0
2188,71,13
2188,72,0
2188,81,0
2188,92,475
2195,11,0
2195,21,0
2195,23,43
2195,31,173
2195,42,0
2195,44,182
2195,48,5
2195,51,40
2195,52,17
2195,53,3
2195,54,2
2195,55,0
2195,56,16
2195,61,0
2195,62,0
2195,71,7
2195,72,93
2195,81,47
2195,92,90
2198,11,0
2198,21,0
2198,22,0
2198,23,78
2198,31,84
2198,42,0
2198,44,248
2198,48,121
2198,51,0
2198,52,27
2198,53,43
2198,54,6
