Zone,mesozone,totalemp
1179,75,285
1180,64,1279
1181,64,131
1182,64,1269
1183,64,1133
1184,64,204
1185,64,779
1186,64,712
1187,64,3766
1188,64,2686
1189,64,7056
1190,64,4873
1191,64,1837
1192,67,704
1193,67,1049
1194,67,578
1195,67,1231
1196,67,1017
1197,67,457
1198,67,343
1199,67,2094
1200,67,3832
1201,67,374
1202,67,2424
1203,67,3288
1204,67,2901
1205,67,1216
1206,67,3145
1207,67,3184
1208,67,1156
1209,67,1262
1210,67,759
1211,67,579
1212,67,1451
1213,67,582
1214,67,529
1215,67,2115
1216,67,736
1217,67,1202
1218,67,259
1219,70,1553
1220,70,467
1221,70,426
1222,70,92
1223,70,759
1224,70,1118
1225,70,1696
1226,70,1368
1227,70,2880
1228,70,1522
1229,70,1095
1230,70,10476
1231,73,4957
1232,73,580
1233,73,3760
1234,73,785
1235,73,2378
1236,73,2708
1237,73,2366
1238,73,4860
1239,73,7884
1240,73,297
1241,73,1502
1242,73,1147
1243,76,865
1244,76,1483
1245,76,1484
1246,76,1089
1247,76,541
1248,76,4886
1249,76,493
1250,76,426
1251,76,980
1252,76,357
1253,76,1966
1254,76,933
1255,76,855
1256,76,677
1257,76,1042
1258,76,1003
1259,76,1148
1260,76,857
1261,76,3878
1262,76,1557
1263,76,1578
1264,76,907
1265,76,964
1266,76,1439
1267,76,730
1268,76,1045
1269,76,418
1270,76,6293
1271,76,251
1272,76,771
1273,76,744
1274,76,761
1275,76,297
1276,76,681
1277,76,130
1278,76,3027
1279,77,97
1280,77,2001
1281,77,772
1282,77,528
1283,77,757
1284,77,1806
1285,77,4152
1286,77,2354
1287,77,879
1288,80,2281
1289,80,5449
1290,80,5704
1291,80,3
1292,80,2067
1293,80,1024
1294,80,2689
1295,80,1592
1296,80,1343
1297,83,493
1298,83,2141
1299,83,683
1300,83,1248
1301,83,997
1302,83,6204
1303,83,357
1304,83,4270
1305,83,3631
1306,83,8708
1307,83,630
1308,83,1770
1309,83,83
1310,83,1661
1311,83,364
1312,83,2146
1313,83,2865
1314,83,3656
1315,83,5830
1316,83,4636
1317,83,1466
1318,83,5929
1319,83,1082
1320,83,8357
1321,83,1737
1322,83,1298
1323,83,201
1324,83,236
1325,83,4392
1326,83,1206
1327,78,590
1328,78,2846
1329,78,189
1330,78,867
1331,78,4602
1332,78,6419
1333,78,8482
1334,78,540
1335,78,2550
1336,78,2931
1337,78,1295
1338,78,1229
1339,78,2429
1340,78,2499
1341,78,1258
1342,78,5882
1343,78,2594
1344,78,1886
1345,78,4752
1346,78,560
1347,78,9068
1348,81,277
1349,81,4041
1350,81,152
1351,81,1048
1352,81,4817
1353,81,689
1354,81,1447
1355,81,588
1356,81,1410
1357,81,1133
1358,81,5181
1359,81,345
1360,81,6544
1361,81,1065
1362,81,1651
1363,81,384
1364,81,6210
1365,81,1161
1366,81,1454
1367,81,737
1368,81,1283
1369,81,947
1370,81,1862
1371,81,866
1372,81,1251
1373,81,4444
1374,81,6609
1375,84,3167
1376,84,9989
1377,84,1921
1378,84,2231
1379,84,4794
1380,84,1515
1381,84,1941
1382,84,3111
1383,84,11808
1384,84,5275
1385,84,3648
1386,84,2757
1387,84,3200
1388,84,643
1389,84,4429
1390,79,4527
1391,79,5867
1392,79,6086
1393,79,4469
1394,79,5835
1395,79,2433
1396,79,987
1397,79,5832
1398,79,2585
1399,79,5918
