Origin,Destination,Time
8,51,0.702
8,52,0.665
8,53,0.807
8,54,0.577
8,55,0.568
8,56,0.496
8,57,0.586
8,58,0.467
8,59,0.414
8,60,0.377
8,61,0.47
8,62,0.772
8,63,0.641
8,64,0.488
8,65,0.873
8,66,0.816
8,67,0.578
8,68,0.92
8,69,0.765
8,70,0.701
8,71,0.998
8,72,0.925
8,73,0.7
8,74,1.033
8,75,1.048
8,76,0.791
8,77,0.45
8,78,0.306
8,79,0.163
8,80,0.568
8,81,0.419
8,82,0.296
8,83,0.668
8,84,0.547
8,85,0.513
8,86,0.588
8,87,0.803
8,88,0.653
8,89,0.849
8,90,0.779
8,91,0.753
8,92,0.978
8,93,0.993
8,94,0.932
8,95,0.887
8,96,1.12
8,97,1.125
8,98,1.214
8,99,1.081
8,100,1.129
8,101,1.266
8,102,1.243
8,103,1.393
8,104,1.304
8,105,1.259
8,106,1.399
8,107,1.312
8,108,1.408
8,109,1.498
8,110,1.226
8,111,1.082
8,112,0.876
8,113,1.174
8,114,1.11
8,115,0.976
8,116,1.391
8,117,1.242
8,118,1.094
8,119,1.476
8,120,1.265
8,121,1.213
8,122,1.503
8,123,1.653
8,124,1.584
8,125,1.643
8,126,1.869
8,127,1.392
8,128,1.596
8,129,1.966
8,130,0.98
8,131,1.225
8,132,1.466
9,1,0.419
9,2,0.319
9,3,0.181
9,4,0.216
9,5,0.259
9,6,0.462
9,7,0.31
9,8,0.17
9,9,0.058
9,10,0.16
9,11,0.248
9,12,0.176
9,13,0.266
9,14,0.343
9,15,0.371
9,16,0.395
9,17,0.47
9,18,0.447
9,19,0.541
9,20,0.588
9,21,0.691
9,22,0.583
9,23,0.664
9,24,0.776
9,25,0.716
9,26,0.788
9,27,0.903
9,28,0.924
9,29,1.067
9,30,1.292
9,31,1.194
9,32,1.118
9,33,0.908
9,34,1.238
9,35,1.043
9,36,0.94
9,37,0.827
9,38,1.074
9,39,0.962
9,40,0.818
9,41,0.698
9,42,1.166
9,43,0.943
9,44,0.78
9,45,0.624
9,46,1
9,47,0.846
9,48,0.756
9,49,0.834
9,50,0.712
9,51,0.672
9,52,0.601
9,53,0.726
9,54,0.562
9,55,0.539
9,56,0.432
9,57,0.504
9,58,0.452
9,59,0.399
9,60,0.313
9,61,0.387
9,62,0.886
9,63,0.754
9,64,0.601
9,65,0.987
9,66,0.93
9,67,0.692
9,68,1.034
9,69,0.88
9,70,0.815
9,71,1.112
9,72,1.039
9,73,0.814
9,74,1.112
9,75,1.143
9,76,0.873
9,77,0.569
9,78,0.425
9,79,0.282
9,80,0.679
9,81,0.531
9,82,0.408
9,83,0.742
9,84,0.628
9,85,0.595
9,86,0.667
9,87,0.877
9,88,0.732
9,89,0.928
9,90,0.858
9,91,0.835
9,92,1.056
9,93,1.072
9,94,1.003
9,95,0.85
9,96,1.199
9,97,1.203
9,98,1.292
9,99,1.044
9,100,1.101
9,101,1.201
9,102,1.322
9,103,1.401
9,104,1.267
9,105,1.222
9,106,1.371
9,107,1.28
9,108,1.487
9,109,1.576
9,110,1.3
9,111,1.156
9,112,0.95
9,113,1.248
9,114,1.184
9,115,1.054
9,116,1.465
9,117,1.316
9,118,1.173
9,119,1.554
9,120,1.378
9,121,1.327
9,122,1.466
9,123,1.766
9,124,1.698
9,125,1.721
9,126,1.943
