Industry_NAICS6_CBP,FAFZONE,CBPZONE,employment,establishment,e1,e2,e3,e4,e5,e6,e7,e8
711320,171,17097,26,8,5,0,0,0,0,0,0,0
711320,171,17111,5,3,3,0,0,0,0,0,0,0
711320,171,17197,10,6,5,0,0,0,0,0,0,0
711320,179,34,35,10,7,0,0,0,0,0,0,0
711320,181,18127,148,4,0,0,0,0,0,0,0,0
711320,182,36,191,51,32,0,0,0,0,0,0,0
711320,189,37,235,17,11,0,0,0,0,0,0,0
711320,190,38,48,17,7,0,0,0,0,0,0,0
711320,201,39,64,17,8,0,0,0,0,0,0,0
711320,209,40,105,17,3,0,0,0,0,0,0,0
711320,211,41,158,20,10,3,0,0,0,0,0,0
711320,219,42,37,11,7,0,0,0,0,0,0,0
711320,221,43,32,6,3,0,0,0,0,0,0,0
711320,223,45,227,39,22,0,0,0,0,0,0,0
711320,229,46,49,11,4,0,0,0,0,0,0,0
711320,230,47,74,4,0,0,0,0,0,0,0,0
711320,241,48,373,52,37,0,0,0,0,0,0,0
711320,242,49,136,35,26,0,0,0,0,0,0,0
711320,251,51,1105,79,57,0,0,0,0,0,0,0
711320,259,52,45,19,16,0,0,0,0,0,0,0
711320,261,53,389,62,42,3,0,0,0,0,0,0
711320,262,54,481,27,19,0,0,0,0,0,0,0
711320,269,55,106,19,7,0,0,0,0,0,0,0
711320,271,56,565,104,71,3,0,0,0,0,0,0
711320,279,57,45,11,5,0,0,0,0,0,0,0
711320,291,59,187,24,14,0,0,0,0,0,0,0
711320,292,60,115,41,30,0,0,0,0,0,0,0
711320,299,61,45,14,8,0,0,0,0,0,0,0
711320,300,62,71,20,11,0,0,0,0,0,0,0
711320,310,63,84,32,18,0,0,0,0,0,0,0
711320,321,64,772,67,59,3,0,0,0,0,0,0
711320,329,65,36,16,14,0,0,0,0,0,0,0
711320,330,66,45,15,11,0,0,0,0,0,0,0
711320,341,67,1597,86,51,3,0,0,0,0,0,0
711320,342,68,33,12,8,0,0,0,0,0,0,0
