Industry_NAICS6_CBP,FAFZONE,CBPZONE,employment,establishment,e1,e2,e3,e4,e5,e6,e7,e8
111130,171,17063,294,171,171,0,0,0,0,0,0,0
111130,171,17089,233,131,131,0,0,0,0,0,0,0
111130,171,17091,505,273,273,0,0,0,0,0,0,0
111130,171,17093,225,127,127,0,0,0,0,0,0,0
111130,171,17097,52,29,29,0,0,0,0,0,0,0
111130,171,17111,214,121,121,0,0,0,0,0,0,0
111130,171,17197,428,223,223,0,0,0,0,0,0,0
111211,171,17031,161,19,18,0,1,0,0,0,0,0
111211,171,17037,21,13,13,0,0,0,0,0,0,0
111211,171,17043,42,8,7,1,0,0,0,0,0,0
111211,171,17063,1,1,1,0,0,0,0,0,0,0
111211,171,17089,366,35,31,2,2,0,0,0,0,0
111211,171,17091,15,13,13,0,0,0,0,0,0,0
111211,171,17093,16,11,11,0,0,0,0,0,0,0
111211,171,17097,17,13,13,0,0,0,0,0,0,0
111211,171,17111,38,33,33,0,0,0,0,0,0,0
111211,171,17197,44,26,26,0,0,0,0,0,0,0
111310,171,17031,11,7,7,0,0,0,0,0,0,0
111310,171,17037,34,13,12,1,0,0,0,0,0,0
111310,171,17063,5,2,2,0,0,0,0,0,0,0
111310,171,17089,14,5,5,0,0,0,0,0,0,0
111310,171,17091,9,7,7,0,0,0,0,0,0,0
111310,171,17093,17,12,12,0,0,0,0,0,0,0
111310,171,17097,30,14,14,0,0,0,0,0,0,0
111310,171,17111,145,29,28,1,0,0,0,0,0,0
111310,171,17197,147,28,27,1,0,0,0,0,0,0
111411,171,17031,94,29,28,1,0,0,0,0,0,0
111411,171,17037,54,14,13,1,0,0,0,0,0,0
111411,171,17043,31,14,14,0,0,0,0,0,0,0
111411,171,17063,19,6,6,0,0,0,0,0,0,0
111411,171,17089,173,32,30,2,0,0,0,0,0,0
111411,171,17091,285,23,20,2,1,0,0,0,0,0
111411,171,17093,245,22,19,2,1,0,0,0,0,0
111411,171,17097,286,36,33,2,1,0,0,0,0,0
111411,171,17111,644,92,84,7,1,0,0,0,0,0
111411,171,17197,318,30,27,2,1,0,0,0,0,0
111930,171,17031,21,21,21,0,0,0,0,0,0,0
111930,171,17037,173,132,132,0,0,0,0,0,0,0
111930,171,17043,3,3,3,0,0,0,0,0,0,0
111930,171,17063,85,70,70,0,0,0,0,0,0,0
111930,171,17089,71,57,57,0,0,0,0,0,0,0
111930,171,17091,123,120,120,0,0,0,0,0,0,0
111930,171,17093,59,53,53,0,0,0,0,0,0,0
111930,171,17097,54,34,33,1,0,0,0,0,0,0
111930,171,17111,111,96,96,0,0,0,0,0,0,0
111930,171,17197,149,117,117,0,0,0,0,0,0,0
112111,171,17031,3,3,3,0,0,0,0,0,0,0
112111,171,17037,78,35,34,1,0,0,0,0,0,0
112111,171,17063,27,10,10,0,0,0,0,0,0,0
112111,171,17089,34,22,22,0,0,0,0,0,0,0
112111,171,17091,38,27,27,0,0,0,0,0,0,0
112111,171,17093,13,12,12,0,0,0,0,0,0,0
112111,171,17097,3,3,3,0,0,0,0,0,0,0
112111,171,17111,186,56,55,1,0,0,0,0,0,0
112111,171,17197,19,15,15,0,0,0,0,0,0,0
112112,171,17037,9,7,7,0,0,0,0,0,0,0
112112,171,17063,1,1,1,0,0,0,0,0,0,0
112112,171,17089,31,3,3,0,0,0,0,0,0,0
112112,171,17111,6,4,4,0,0,0,0,0,0,0
112120,171,17037,15,3,3,0,0,0,0,0,0,0
112120,171,17089,22,3,3,0,0,0,0,0,0,0
112120,171,17097,3,1,1,0,0,0,0,0,0,0
112120,171,17111,53,15,15,0,0,0,0,0,0,0
112210,171,17037,117,27,27,0,0,0,0,0,0,0
112210,171,17063,12,4,4,0,0,0,0,0,0,0
112210,171,17089,54,6,6,0,0,0,0,0,0,0
112210,171,17091,34,14,14,0,0,0,0,0,0,0
112210,171,17093,35,5,5,0,0,0,0,0,0,0
112210,171,17111,49,11,11,0,0,0,0,0,0,0
112310,171,17031,98,4,3,1,0,0,0,0,0,0
112310,171,17037,11,11,11,0,0,0,0,0,0,0
112310,171,17043,6,6,6,0,0,0,0,0,0,0
112310,171,17063,19,19,19,0,0,0,0,0,0,0
112310,171,17089,12,12,12,0,0,0,0,0,0,0
112310,171,17091,93,25,23,2,0,0,0,0,0,0
112310,171,17093,13,13,13,0,0,0,0,0,0,0
112310,171,17097,6,6,6,0,0,0,0,0,0,0
112310,171,17111,190,81,77,4,0,0,0,0,0,0
112310,171,17197,183,59,57,2,0,0,0,0,0,0
112410,171,17031,7,6,6,0,0,0,0,0,0,0
112410,171,17037,18,8,8,0,0,0,0,0,0,0
112410,171,17043,3,2,2,0,0,0,0,0,0,0
112410,171,17063,26,4,3,1,0,0,0,0,0,0
112410,171,17089,7,7,7,0,0,0,0,0,0,0
112410,171,17091,39,9,8,1,0,0,0,0,0,0
112410,171,17097,15,6,6,0,0,0,0,0,0,0
112410,171,17111,41,25,25,0,0,0,0,0,0,0
112410,171,17197,15,15,15,0,0,0,0,0,0,0
112511,171,17031,44,43,43,0,0,0,0,0,0,0
112511,171,17037,45,44,44,0,0,0,0,0,0,0
112511,171,17043,95,26,24,2,0,0,0,0,0,0
112511,171,17063,6,6,6,0,0,0,0,0,0,0
112511,171,17089,101,91,91,0,0,0,0,0,0,0
112511,171,17091,13,12,12,0,0,0,0,0,0,0
