Industry_NAICS6_Make,Industry_NAICS6_Use,ProVal
336320,1121A0,45.6062840921997
339990,1121A0,36.1173676198229
311119,1121A0,8137.35424316282
311224,1121A0,117.312150183168
314900,1121A0,2.45701833182098
316000,1121A0,2.43764796754839
323110,1121A0,1.62749093313251
324110,1121A0,1078.01462777019
324190,1121A0,49.4946083098416
325180,1121A0,0.796426904056502
325412,1121A0,1.71102658428601
325414,1121A0,1745.99021834788
325320,1121A0,488.336406696593
326120,1121A0,94.4936336218123
424A00,1121A0,1.60602050296611
425000,1121A0,157.007277881084
493000,1121A0,46.5071398285892
511200,1121A0,2.32193357692347
517110,1121A0,50.4328077635043
517210,1121A0,2.34004044615527
517A00,1121A0,9.78117550270247
522A00,1121A0,4.54789644757993
52A000,1121A0,453.241767179978
523900,1121A0,0.550020340199171
523A00,1121A0,107.684932517148
5241XX,1121A0,57.6208125211496
524200,1121A0,21.3862717750504
531ORE,1121A0,452.55845736398
532100,1121A0,68.7236355377855
532400,1121A0,67.4794473070018
541100,1121A0,25.6224450085432
541512,1121A0,10.3429486396224
54151A,1121A0,5.95144311506317
541200,1121A0,61.9424262683321
541940,1121A0,13.9128958231476
561700,1121A0,33.8286967800836
562000,1121A0,46.2183915213967
711100,1121A0,0.892233449505873
711200,1121A0,1.02057590169052
722110,1121A0,40.3474775642409
722211,1121A0,0.854147844056075
813B00,1121A0,1.44314960699787
1111B0,112300,2022.17036847094
112300,112300,8684.85367053313
115000,112300,613.646416050312
212100,112300,432.958165692221
212310,112300,3.97039433019535
221100,112300,193.139486556656
221200,112300,133.514798759158
221300,112300,59.392671641791
230301,112300,40.8040539088316
3219A0,112300,1.91463230432482
331200,112300,0.551822819554097
332200,112300,18.1232037167316
332310,112300,5.51771133356258
332999,112300,0.874609607591523
333111,112300,19.3136478969783
335911,112300,19.1084883307493
336320,112300,4.6001055861411
336360,112300,1.65576436981483
336390,112300,3.06666490244356
339990,112300,3.21939557354995
311119,112300,17565.5231578134
311210,112300,215.542065036669
311224,112300,809.89195551657
311300,112300,8.38361712122451
311514,112300,58.3346976978172
31161A,112300,36.7398894789259
312120,112300,30.6050739187235
312140,112300,378.524410868801
322299,112300,6.39655297944809
323110,112300,0.779749848932381
324110,112300,719.763114109325
325412,112300,54.9247743637136
325414,112300,733.896074610319
325320,112300,181.248687225432
325610,112300,2.46501548677235
3259A0,112300,0.75574687714836
326210,112300,12.0984923085415
424400,112300,16.311866618653
425000,112300,8.03920763393117
484000,112300,63.5316301645649
493000,112300,136.993725646918
511120,112300,2.13988330013453
511200,112300,4.44986160961841
517110,112300,61.0114366362845
517210,112300,17.3776795201773
517A00,112300,11.0265294810851
522A00,112300,16.5600209302708
52A000,112300,212.04391416887
523900,112300,1.58112688107414
523A00,112300,2.25955202395997
5241XX,112300,219.963873564002
524200,112300,64.7573221262407
531ORE,112300,34.9126649442259
532100,112300,34.4366741258451
532400,112300,33.4848382124014
541100,112300,63.0168597064564
541512,112300,22.299421851046
54151A,112300,13.0349973353487
541200,112300,136.597059777563
