Country,Commodity_NAICS6,FAFZONE,ctrycod,CBPZONE,USImpVal
ANTIGUA AND BARBUDA,314120,803,7,130,300
ANTIGUA AND BARBUDA,314910,803,7,130,55800
ANTIGUA AND BARBUDA,314999,803,7,130,2000
ANTIGUA AND BARBUDA,315240,803,7,130,963
ANTIGUA AND BARBUDA,315280,803,7,130,815
ANTIGUA AND BARBUDA,316998,803,7,130,2464.999997535
ANTIGUA AND BARBUDA,321918,803,7,130,49355
ANTIGUA AND BARBUDA,322220,803,7,130,35716
ANTIGUA AND BARBUDA,325413,803,7,130,5550
ANTIGUA AND BARBUDA,325910,803,7,130,8097
ANTIGUA AND BARBUDA,325998,803,7,130,37536
ANTIGUA AND BARBUDA,326113,803,7,130,151564
ANTIGUA AND BARBUDA,326199,803,7,130,12519
ANTIGUA AND BARBUDA,326220,803,7,130,442
ANTIGUA AND BARBUDA,327110,803,7,130,4000
ANTIGUA AND BARBUDA,332911,803,7,130,40713
ANTIGUA AND BARBUDA,333318,803,7,130,3000
ANTIGUA AND BARBUDA,333413,803,7,130,3489
ANTIGUA AND BARBUDA,333415,803,7,130,7950
ANTIGUA AND BARBUDA,333511,803,7,130,2379
ANTIGUA AND BARBUDA,333514,803,7,130,43602
ANTIGUA AND BARBUDA,333613,803,7,130,48848
ANTIGUA AND BARBUDA,333618,803,7,130,35422
ANTIGUA AND BARBUDA,333912,803,7,130,6757
ANTIGUA AND BARBUDA,333914,803,7,130,5307
ANTIGUA AND BARBUDA,333996,803,7,130,60885
ANTIGUA AND BARBUDA,333999,803,7,130,11176
ANTIGUA AND BARBUDA,334118,803,7,130,1632794
ANTIGUA AND BARBUDA,334210,803,7,130,70000
ANTIGUA AND BARBUDA,334220,803,7,130,39523
ANTIGUA AND BARBUDA,334413,803,7,130,44467
ANTIGUA AND BARBUDA,334510,803,7,130,4000
ANTIGUA AND BARBUDA,334513,803,7,130,49810
ANTIGUA AND BARBUDA,334515,803,7,130,3420
ANTIGUA AND BARBUDA,334516,803,7,130,37014
ANTIGUA AND BARBUDA,335121,803,7,130,24090
ANTIGUA AND BARBUDA,335220,803,7,130,16710
ANTIGUA AND BARBUDA,335911,803,7,130,30000
ANTIGUA AND BARBUDA,335931,803,7,130,3661
ANTIGUA AND BARBUDA,335991,803,7,130,15326
ANTIGUA AND BARBUDA,336310,803,7,130,35249
ANTIGUA AND BARBUDA,336320,803,7,130,7125
