Production_zone,Consumption_zone,poe
65,269,3636
65,272,3636
65,310,3636
66,154,3636
66,206,3636
66,207,3636
66,212,3636
66,230,3636
66,239,3636
66,248,3636
66,268,3636
66,269,3636
66,272,3636
66,310,3636
67,154,3636
67,206,3636
67,207,3636
67,212,3636
67,230,3636
67,239,3636
67,248,3636
67,268,3636
67,269,3636
67,272,3636
67,310,3636
68,154,3636
68,206,3636
68,207,3636
68,212,3636
68,230,3636
68,239,3636
68,248,3636
68,268,3636
68,269,3636
68,272,3636
68,310,3636
69,154,3636
69,206,3636
69,207,3636
69,212,3636
69,230,3636
69,239,3636
69,248,3636
69,268,3636
69,269,3636
69,272,3636
69,310,3636
70,154,3636
70,206,3636
70,207,3636
70,212,3636
70,230,3636
70,239,3636
70,248,3636
70,268,3636
70,269,3636
70,272,3636
70,310,3636
71,154,3636
71,206,3636
71,207,3636
71,212,3636
71,230,3636
71,248,3636
71,268,3636
71,269,3636
71,272,3636
71,310,3636
72,154,3636
72,206,3636
72,207,3636
72,212,3636
72,230,3636
72,248,3636
72,268,3636
72,269,3636
72,272,3636
72,310,3636
73,154,3636
73,206,3636
73,207,3636
73,212,3636
73,230,3636
73,239,3636
73,248,3636
73,268,3636
73,269,3636
73,272,3636
73,310,3636
74,154,3636
74,206,3636
74,207,3636
74,212,3636
74,230,3636
74,248,3636
74,268,3636
74,269,3636
74,272,3636
74,310,3636
75,154,3636
75,206,3636
75,207,3636
75,212,3636
75,230,3636
75,248,3636
75,268,3636
75,269,3636
75,272,3636
75,310,3636
76,154,3636
76,206,3636
76,207,3636
76,212,3636
76,230,3636
76,248,3636
76,268,3636
76,269,3636
76,272,3636
76,310,3636
77,154,3636
77,206,3636
77,207,3636
77,212,3636
77,230,3636
77,239,3636
77,248,3636
77,268,3636
77,269,3636
77,272,3636
77,310,3636
78,154,3636
78,206,3636
78,207,3636
78,212,3636
78,230,3636
78,239,3636
78,248,3636
78,268,3636
78,269,3636
78,272,3636
78,310,3636
79,154,3636
79,206,3636
79,207,3636
79,212,3636
79,230,3636
79,239,3636
79,248,3636
79,268,3636
79,269,3636
79,272,3636
79,310,3636
80,154,3636
80,206,3636
80,207,3636
80,212,3636
80,230,3636
80,239,3636
80,248,3636
80,268,3636
80,269,3636
80,272,3636
80,310,3636
81,154,3636
81,206,3636
81,207,3636
81,212,3636
81,230,3636
81,239,3636
81,248,3636
81,268,3636
81,269,3636
81,272,3636
81,310,3636
82,154,3636
82,206,3636
82,207,3636
82,212,3636
82,230,3636
82,239,3636
82,248,3636
82,268,3636
82,269,3636
82,272,3636
82,310,3636
83,154,3636
83,206,3636
83,207,3636
83,212,3636
83,230,3636
83,248,3636
83,268,3636
83,269,3636
83,272,3636
83,310,3636
84,154,3636
84,206,3636
84,207,3636
84,212,3636
84,230,3636
84,248,3636
84,268,3636
84,269,3636
84,272,3636
84,310,3636
85,154,3636
85,206,3636
85,207,3636
85,212,3636
85,230,3636
85,248,3636
85,268,3636
85,269,3636
85,272,3636
85,310,3636
86,154,3636
86,206,3636
86,207,3636
86,212,3636
86,230,3636
86,248,3636
86,268,3636
86,269,3636
86,272,3636
86,310,3636
87,154,3636
87,206,3636
87,207,3636
87,212,3636
87,230,3636
87,248,3636
87,268,3636
87,269,3636
87,272,3636
87,310,3636
88,154,3636
88,206,3636
88,207,3636
88,212,3636
88,230,3636
88,248,3636
88,268,3636
88,269,3636
88,272,3636
88,310,3636
89,154,3636
89,206,3636
89,207,3636
89,212,3636
89,230,3636
89,248,3636
89,268,3636
89,269,3636
89,272,3636
89,310,3636
90,154,3636
90,206,3636
90,207,3636
90,212,3636
90,230,3636
90,248,3636
90,268,3636
90,269,3636
90,272,3636
90,310,3636
91,154,3636
91,206,3636
91,207,3636
91,212,3636
91,230,3636
91,248,3636
91,268,3636
91,269,3636
91,272,3636
91,310,3636
92,154,3636
92,206,3636
92,207,3636
92,212,3636
92,230,3636
92,248,3636
92,268,3636
92,269,3636
92,272,3636
92,310,3636
93,154,3636
93,206,3636
93,207,3636
93,212,3636
93,230,3636
93,248,3636
93,268,3636
93,269,3636
93,272,3636
93,310,3636
94,154,3636
94,206,3636
94,207,3636
94,212,3636
94,230,3636
94,248,3636
94,268,3636
94,269,3636
94,272,3636
94,310,3636
95,154,3636
95,206,3636
95,207,3636
95,212,3636
95,230,3636
95,248,3636
95,268,3636
95,269,3636
95,272,3636
95,310,3636
96,154,3636
96,206,3636
96,207,3636
96,212,3636
96,230,3636
96,248,3636
96,268,3636
96,269,3636
96,272,3636
96,310,3636
97,154,3636
97,206,3636
97,207,3636
97,212,3636
97,230,3636
97,248,3636
97,268,3636
97,269,3636
97,272,3636
97,310,3636
98,154,3636
98,206,3636
98,207,3636
98,212,3636
98,230,3636
98,248,3636
98,268,3636
98,269,3636
98,272,3636
98,310,3636
99,154,3636
99,206,3636
99,207,3636
99,212,3636
99,230,3636
99,248,3636
99,268,3636
99,269,3636
99,272,3636
99,310,3636
100,154,3636
100,206,3636
100,207,3636
100,212,3636
100,230,3636
100,248,3636
100,268,3636
100,269,3636
100,272,3636
100,310,3636
101,154,3636
101,206,3636
101,207,3636
101,212,3636
101,230,3636
101,248,3636
101,268,3636
101,269,3636
101,272,3636
101,310,3636
102,154,3636
102,206,3636
102,207,3636
102,212,3636
102,230,3636
102,248,3636
102,268,3636
102,269,3636
102,272,3636
102,310,3636
103,154,3636
103,206,3636
103,207,3636
103,212,3636
103,230,3636
103,248,3636
103,268,3636
103,269,3636
103,272,3636
103,310,3636
104,154,3636
104,206,3636
104,207,3636
104,212,3636
104,230,3636
104,248,3636
104,268,3636
104,269,3636
104,272,3636
104,310,3636
105,154,3636
105,206,3636
105,207,3636
105,212,3636
105,230,3636
105,248,3636
105,268,3636
105,269,3636
105,272,3636
105,310,3636
106,154,3636
106,206,3636
106,207,3636
106,212,3636
106,230,3636
106,248,3636
106,268,3636
106,269,3636
106,272,3636
106,310,3636
107,154,3636
107,206,3636
107,207,3636
107,212,3636
107,230,3636
107,248,3636
107,268,3636
107,269,3636
107,272,3636
107,310,3636
108,154,3636
108,206,3636
108,207,3636
108,212,3636
108,230,3636
108,248,3636
108,268,3636
108,269,3636
108,272,3636
108,310,3636
109,154,3636
109,206,3636
109,207,3636
109,212,3636
109,230,3636
109,248,3636
109,268,3636
109,269,3636
109,272,3636
109,310,3636
110,154,3636
110,206,3636
110,207,3636
110,212,3636
110,230,3636
110,248,3636
110,268,3636
110,269,3636
110,272,3636
110,310,3636
111,154,3636
111,206,3636
111,207,3636
111,212,3636
111,230,3636
111,248,3636
111,268,3636
111,269,3636
111,272,3636
111,310,3636
112,154,3636
112,206,3636
112,207,3636
112,212,3636
112,230,3636
112,248,3636
112,268,3636
112,269,3636
112,272,3636
112,310,3636
113,154,3636
113,206,3636
113,207,3636
113,212,3636
113,230,3636
113,248,3636
113,268,3636
113,269,3636
113,272,3636
113,310,3636
114,154,3636
114,206,3636
114,207,3636
114,212,3636
114,230,3636
114,248,3636
114,268,3636
114,269,3636
114,272,3636
114,310,3636
115,154,3636
115,206,3636
115,207,3636
115,212,3636
115,230,3636
115,248,3636
115,268,3636
115,269,3636
115,272,3636
115,310,3636
116,154,3636
116,206,3636
116,207,3636
116,212,3636
116,230,3636
116,268,3636
116,269,3636
116,272,3636
116,310,3636
117,154,3636
117,206,3636
117,207,3636
117,212,3636
117,230,3636
117,248,3636
117,268,3636
117,269,3636
117,272,3636
117,310,3636
118,154,3636
118,206,3636
118,207,3636
118,212,3636
118,230,3636
118,248,3636
118,268,3636
118,269,3636
118,272,3636
118,310,3636
119,154,3636
119,206,3636
119,207,3636
119,212,3636
119,230,3636
119,268,3636
119,269,3636
119,272,3636
119,310,3636
120,154,3636
120,206,3636
120,207,3636
120,212,3636
120,230,3636
120,239,3636
120,240,3636
120,248,3636
120,268,3636
120,269,3636
120,272,3636
120,310,3636
121,154,3636
121,206,3636
121,207,3636
121,212,3636
121,230,3636
121,248,3636
121,268,3636
121,269,3636
121,272,3636
121,310,3636
122,154,3636
122,206,3636
122,207,3636
122,212,3636
122,230,3636
122,248,3636
122,268,3636
122,269,3636
122,272,3636
122,310,3636
123,154,3636
123,206,3636
123,207,3636
123,212,3636
123,230,3636
123,239,3636
123,248,3636
123,268,3636
123,269,3636
123,272,3636
123,310,3636
124,154,3636
124,206,3636
124,207,3636
124,212,3636
124,230,3636
124,248,3636
124,268,3636
124,269,3636
124,272,3636
124,310,3636
125,154,3636
125,206,3636
125,207,3636
125,212,3636
125,230,3636
125,248,3636
125,268,3636
125,269,3636
125,272,3636
125,310,3636
126,154,3636
126,206,3636
126,207,3636
126,212,3636
126,230,3636
126,268,3636
126,269,3636
126,272,3636
126,310,3636
127,154,3636
127,206,3636
127,207,3636
127,212,3636
127,230,3636
127,248,3636
127,268,3636
127,269,3636
127,272,3636
127,310,3636
128,154,3636
128,206,3636
128,207,3636
128,212,3636
128,230,3636
128,248,3636
128,268,3636
128,269,3636
128,272,3636
128,310,3636
129,154,3636
129,206,3636
129,207,3636
129,212,3636
129,230,3636
129,248,3636
129,268,3636
129,269,3636
129,272,3636
129,310,3636
130,154,3636
130,206,3636
130,207,3636
130,212,3636
130,230,3636
130,239,3636
130,240,3636
130,248,3636
130,268,3636
130,269,3636
130,272,3636
130,273,3636
130,310,3636
131,154,3636
131,206,3636
131,207,3636
131,212,3636
131,230,3636
131,239,3636
131,240,3636
131,248,3636
131,268,3636
131,269,3636
131,272,3636
131,273,3636
131,310,3636
132,154,3636
132,206,3636
132,207,3636
132,212,3636
132,230,3636
132,239,3636
132,240,3636
132,248,3636
132,268,3636
132,269,3636
132,272,3636
132,273,3636
132,310,3636
133,154,3636
133,206,3636
133,207,3636
133,212,3636
133,230,3636
133,239,3636
133,240,3636
133,248,3636
133,268,3636
133,269,3636
133,272,3636
133,310,3636
134,154,3636
134,206,3636
134,207,3636
134,212,3636
134,230,3636
134,248,3636
134,268,3636
134,269,3636
134,272,3636
134,310,3636
135,154,3636
135,206,3636
135,207,3636
135,212,3636
135,230,3636
135,239,3636
135,248,3636
135,268,3636
135,269,3636
135,272,3636
135,310,3636
136,154,3636
136,206,3636
136,207,3636
136,212,3636
136,230,3636
136,248,3636
136,268,3636
136,269,3636
136,272,3636
136,310,3636
137,154,3636
137,206,3636
137,207,3636
137,212,3636
137,230,3636
137,248,3636
137,268,3636
137,269,3636
137,272,3636
137,310,3636
138,154,3636
138,206,3636
138,207,3636
138,212,3636
138,230,3636
138,239,3636
138,248,3636
138,268,3636
138,269,3636
138,272,3636
138,310,3636
139,154,3636
139,206,3636
139,207,3636
139,212,3636
139,230,3636
139,239,3636
139,248,3636
139,268,3636
139,269,3636
139,272,3636
139,310,3636
141,154,3636
141,206,3636
141,207,3636
141,212,3636
141,230,3636
141,239,3636
141,248,3636
141,268,3636
141,269,3636
141,272,3636
141,310,3636
142,154,3636
142,206,3636
142,207,3636
142,212,3636
142,230,3636
142,239,3636
142,248,3636
142,268,3636
142,269,3636
142,272,3636
142,310,3636
144,154,3636
144,206,3636
144,207,3636
144,212,3636
144,230,3636
144,239,3636
144,240,3636
144,248,3636
144,268,3636
144,269,3636
144,272,3636
144,273,3636
144,310,3636
145,154,3636
145,206,3636
145,207,3636
145,212,3636
145,230,3636
145,239,3636
145,248,3636
145,268,3636
145,269,3636
145,272,3636
145,310,3636
146,154,3636
146,206,3636
146,207,3636
146,212,3636
146,230,3636
146,239,3636
146,248,3636
146,268,3636
146,269,3636
146,272,3636
146,310,3636
147,154,3636
147,206,3636
147,207,3636
147,212,3636
147,230,3636
147,239,3636
147,248,3636
147,268,3636
147,269,3636
147,272,3636
147,310,3636
148,154,3636
148,206,3636
148,207,3636
148,212,3636
148,230,3636
148,239,3636
148,248,3636
148,268,3636
148,269,3636
148,272,3636
148,310,3636
149,154,3636
149,206,3636
149,207,3636
149,212,3636
149,230,3636
149,248,3636
149,268,3636
149,269,3636
149,272,3636
149,310,3636
150,154,3636
150,206,3636
150,207,3636
150,212,3636
150,230,3636
150,239,3636
150,248,3636
150,268,3636
150,269,3636
150,272,3636
150,310,3636
154,1,3636
154,2,3636
154,3,3636
154,4,3636
154,5,3636
154,6,3636
154,7,3636
154,8,3636
154,9,3636
154,10,3636
154,11,3636
154,12,3636
154,13,3636
154,14,3636
154,15,3636
154,16,3636
154,17,3636
154,18,3636
154,19,3636
154,20,3636
154,21,3636
154,22,3636
154,23,3636
154,24,3636
154,25,3636
154,26,3636
154,27,3636
154,28,3636
154,29,3636
154,30,3636
154,31,3636
154,32,3636
154,33,3636
154,34,3636
154,35,3636
154,36,3636
154,37,3636
154,38,3636
154,39,3636
154,40,3636
154,41,3636
154,42,3636
154,43,3636
154,44,3636
154,45,3636
154,46,3636
154,47,3636
154,48,3636
154,49,3636
154,50,3636
154,51,3636
154,52,3636
154,53,3636
154,54,3636
154,55,3636
154,56,3636
154,57,3636
154,58,3636
154,59,3636
154,60,3636
154,61,3636
154,62,3636
154,63,3636
154,64,3636
154,65,3636
154,66,3636
154,67,3636
154,68,3636
154,69,3636
154,70,3636
154,71,3636
154,72,3636
154,73,3636
154,74,3636
154,75,3636
154,76,3636
154,77,3636
154,78,3636
154,79,3636
154,80,3636
154,81,3636
154,82,3636
154,83,3636
154,84,3636
154,85,3636
154,86,3636
154,87,3636
154,88,3636
154,89,3636
154,90,3636
154,91,3636
154,92,3636
154,93,3636
154,94,3636
154,95,3636
154,96,3636
